umidità temperatura co2 tvoc classe
39 23.000000 403 0 0
39 23.100000 415 2 0
40 23.100000 415 2 0
40 23.000000 413 1 0
40 23.000000 418 2 0
40 23.100000 413 1 0
39 23.000000 418 2 0
39 23.000000 415 2 0
39 23.200000 408 1 0
39 23.100000 403 0 0
39 23.000000 408 1 0
39 23.100000 418 2 0
39 23.200000 427 4 0
39 23.000000 434 5 0
39 23.100000 434 5 0
39 23.000000 438 5 0
39 23.100000 443 6 0
39 23.200000 438 5 0
39 23.100000 438 5 0
39 23.200000 434 5 0
39 23.000000 427 4 0
39 23.200000 423 3 0
39 23.200000 418 2 0
39 23.000000 423 3 0
39 23.100000 423 3 0
38 23.100000 423 3 0
38 23.200000 423 3 0
38 23.100000 434 5 0
38 23.200000 438 5 0
38 23.000000 434 5 0
38 23.200000 434 5 0
38 23.200000 427 4 0
38 23.000000 427 4 0
38 23.000000 418 2 0
38 23.000000 1659 297 0
95 23.200000 1753 394 0
95 23.300000 1168 117 0
95 23.800000 580 27 0
95 24.000000 553 23 0
95 24.200000 506 16 0
95 24.100000 486 13 0
95 24.000000 486 13 0
95 23.300000 481 12 0
95 23.200000 486 13 0
95 23.200000 477 11 0
92 23.200000 464 9 0
78 23.100000 460 9 0
69 23.400000 452 7 0
62 23.100000 445 6 0
57 23.100000 443 6 0
54 23.200000 443 6 0
51 23.300000 445 6 0
49 23.200000 445 6 0
48 23.600000 445 6 0
46 23.200000 443 6 0
45 23.100000 445 6 0
44 23.300000 445 6 0
44 23.400000 445 6 0
43 23.100000 452 7 0
43 23.300000 452 7 0
42 23.300000 452 7 0
42 23.200000 457 8 0
42 23.300000 457 8 0
42 23.300000 460 9 0
42 23.400000 460 9 0
41 23.400000 457 8 0
41 23.300000 452 7 0
41 23.300000 445 6 0
41 23.200000 445 6 0
40 23.200000 443 6 0
40 23.100000 445 6 0
40 23.100000 452 7 0
40 23.100000 457 8 0
40 23.200000 460 9 0
40 23.200000 464 9 0
40 23.100000 464 9 0
40 23.300000 460 9 0
40 23.300000 457 8 0
40 23.100000 460 9 0
40 23.200000 457 8 0
40 23.200000 472 10 0
40 23.100000 477 11 0
39 23.100000 477 11 0
39 23.200000 472 10 0
39 23.200000 477 11 0
39 23.200000 481 12 0
39 23.100000 481 12 0
39 23.100000 486 13 0
39 23.000000 486 13 0
39 23.200000 486 13 0
39 23.000000 492 14 0
39 23.300000 477 11 0
39 23.100000 472 10 0
39 23.000000 477 11 0
39 23.300000 486 13 0
39 23.000000 481 12 0
40 23.000000 486 13 0
39 23.100000 496 14 0
39 23.100000 492 14 0
39 23.300000 481 12 0
39 23.300000 492 14 0
39 23.200000 492 14 0
39 23.200000 496 14 0
39 23.000000 496 14 0
39 23.200000 501 15 0
39 23.000000 501 15 0
39 23.200000 506 16 0
39 23.100000 506 16 0
39 23.300000 501 15 0
39 23.100000 501 15 0
39 23.200000 514 17 0
39 23.000000 506 16 0
39 23.100000 514 17 0
39 23.300000 506 16 0
39 23.000000 514 17 0
39 23.100000 523 18 0
39 23.200000 523 18 0
39 23.100000 526 19 0
39 23.000000 526 19 0
39 23.200000 526 19 0
39 23.200000 536 20 0
39 23.100000 531 19 0
39 23.000000 531 19 0
39 23.200000 531 19 0
39 23.100000 536 20 0
39 23.200000 543 21 0
39 23.100000 543 21 0
39 23.000000 543 21 0
39 23.100000 549 22 0
40 23.000000 549 22 0
40 23.100000 549 22 0
40 23.000000 543 21 0
40 23.100000 543 21 0
40 23.200000 531 19 0
40 23.000000 536 20 0
39 23.000000 536 20 0
40 23.200000 549 22 0
40 23.200000 536 20 0
40 23.300000 543 21 0
40 23.200000 543 21 0
40 23.100000 536 20 0
40 23.100000 553 23 0
40 23.000000 553 23 0
40 23.000000 561 24 0
40 23.200000 553 23 0
40 23.200000 561 24 0
40 23.000000 569 25 0
40 23.100000 569 25 0
40 23.000000 574 26 0
40 23.100000 574 26 0
40 22.900000 569 25 0
40 22.900000 574 26 0
40 23.100000 561 24 0
40 23.000000 580 27 0
40 23.100000 580 27 0
40 22.700000 580 27 0
40 23.200000 580 27 0
40 23.100000 588 28 0
40 23.000000 588 28 0
40 23.000000 592 29 0
40 23.100000 592 29 0
40 23.000000 599 30 0
40 23.000000 688 43 0
41 23.000000 668 40 0
41 23.100000 645 37 0
41 23.000000 617 33 0
41 23.100000 580 27 0
41 23.000000 569 25 0
40 22.900000 588 28 0
40 22.900000 580 27 0
40 23.100000 599 30 0
40 23.100000 605 31 0
40 22.900000 605 31 0
40 23.000000 605 31 0
40 22.900000 599 30 0
58 23.100000 400 0 0
58 22.900000 400 0 0
60 23.100000 400 0 0
59 23.100000 403 0 0
58 23.200000 422 3 0
58 23.200000 432 4 0
57 23.300000 446 7 0
57 23.100000 466 10 0
57 23.100000 485 12 0
57 23.300000 495 14 0
57 23.200000 501 15 0
57 23.300000 534 20 0
57 23.300000 545 22 0
57 23.300000 556 23 0
57 23.200000 574 26 0
57 23.100000 584 28 0
57 23.300000 600 30 0
57 23.100000 618 33 0
57 23.100000 641 36 0
57 23.200000 653 38 0
